Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
192703,2019,Bridgeport,410 HOLLISTER AVE,109820,340000,0.323,Two Family
140183,2014,Cheshire,615 MIXVILLE RD,118650,228000,0.520394737,Two Family
130470,2013,Shelton,33 MILNE AVENUE,135100,206000,0.655825243,Single Family
14235,2014,Madison,622 HORSEPOND RD,157900,165000,0.956969697,Single Family
150461,2015,Middletown,112 TROLLEY CROSSING LA,58230,61161,0.952077304,Condo
21077,2021,Plainville,24 SANDSTONE RD,137340,439487,0.3125,Residential
160325,2016,New Britain,152 HICKORY HILL RD,157010,192000,0.817760417,Single Family
60923,2006,Hamden,620 STILL HL RD,272160,420000,0.648,Single Family
170028,2017,New London,280 GARDNER AVE B3,50470,45000,1.121555556,Condo
120200,2012,New Fairfield,4 ERIE RD,149000,211000,0.706161137,Single Family
160032,2016,Waterford,24 AVERY LN,192730,89725,2.148007802,Single Family
180795,2018,Manchester,67 OAK STREET,109600,79000,1.3873,Single Family
140258,2014,Griswold,1 QUIET COVE LANE,208880,324900,0.642905509,Single Family
16475,2016,Farmington,1A TALCOTT FOREST RD,121800,196100,0.621111678,Condo
1554,2015,Chester,27 STORY HILL RD,270620,245000,1.104571429,Single Family
120403,2012,Avon,575 WEST AVON ROAD,179370,200000,0.89685,Single Family
80202,2008,Simsbury,6 BARNARD DRIVE,204650,305000,0.670983607,Single Family
100020,2010,Bozrah,95 CAROLINE ROAD,218940,266004,0.82307033,Single Family
160176,2016,Madison,167 SCOTLAND ROAD,220600,405000,0.544691358,Single Family
1901623,2019,Stamford,118 OAKLAWN AVENUE,253110,485000,0.5219,Single Family
900112,2009,Newington,176 WEBSTER STREET,156070,260000,0.600269231,Single Family
100027,2010,Ansonia,2 DWIGHT ST,172100,115000,1.496521739,Two Family
190506,2019,Southington,55 JEANETTE CT,220670,335000,0.6587,Single Family
90013,2009,North Stonington,50 CHESTER MAIN,324030,425000,0.762423529,Single Family
170989,2017,Milford,31 EDGEFIELD AVE,213130,300000,0.7104,Single Family
14092,2014,Marlborough,32 RHONDA WAY,76380,625023,0.122203503,Single Family
60131,2006,Ridgefield,17 TWIN RDG RD,493110,700000,0.704442857,Single Family
160922,2016,Waterbury,280 CAPITOL AVE,107170,130000,0.824384615,Single Family
160380,2016,Avon,135 NORTHGATE,666840,852000,0.782676056,Single Family
19102,2019,Lebanon,290 E HEBRON TPKE,217810,344500,0.6322,Single Family
210231,2021,West Haven,69-71 YORK ST,187110,325000,0.5757,Residential
21000501,2021,Cheshire,1211 LONG HILL RD,158290,400000,0.3957,Residential
190009,2019,Cromwell,9 VINCY DRIVE,186130,186224,0.9995,Single Family
200686,2020,Greenwich,46 ONEIDA DRIVE,2492210,3200000,0.778815625,Residential
60142,2006,East Granby,12 SCHOOL ST,121700,240800,0.505398671,Single Family
140516,2014,New Britain,73 ODONNELL RD,94080,148700,0.632683255,Single Family
180003,2018,Portland,85 GOSPEL LANE,121520,121400,1.0009,Single Family
60144,2006,Bethel,6 SETTLERS RD,269300,485000,0.555257732,Single Family
190190,2019,Windham,509 SUMMIT ST EXT,77990,80000,0.9749,Single Family
210311,2021,Norwich,68 THERMOS AVE #314I,53400,130000,0.4107,Residential
80721,2008,Manchester,355 BURNHAM STREET,149000,206000,0.723300971,Single Family
1900145,2019,Stamford,33 WATERFORD LAND,289720,361000,0.8025,Single Family
61982,2006,Bridgeport,190 PALISADE AVE 3A,20082,45000,0.446266667,Condo
210041,2021,Glastonbury,222 WILLIAMS ST E UNIT 420,65700,130000,0.5053,Residential
160592,2016,Wallingford,16 DOCKER DR,217200,295000,0.736271186,Single Family
140793,2014,Stamford,"20 WEED HILL AVE., # 46",209410,300000,0.698033333,Condo
151294,2015,Norwalk,1 HORIZON DR UNIT 20,162920,270000,0.603407407,Condo
60523,2006,Branford,30 SUNRISE COVE CAMP,165000,350000,0.471428571,Single Family
900115,2009,East Hartford,18 HOLLISTER DRIVE,135270,180000,0.7515,Single Family
110102,2011,Oxford,6 OAKWOOD DR,184100,260000,0.708076923,Single Family
101010,2010,Waterbury,157 BEECH ST,112170,115000,0.975391304,Two Family
70233,2007,New Haven,149 CLINTON AVE,164360,235000,0.699404255,Two Family
15182,2015,North Haven,33 CENTRAL AVENUE,150220,136000,1.104558824,Single Family
210051,2021,Essex,20 CURIOSITY LA,398000,765000,0.5202,Residential
1900190,2019,East Haven,75 REDWOOD DR #101,80980,129000,0.6278,Condo
2002230,2020,Stamford,224 SOUNDVIEW AVENUE,461520,825000,0.5594,Residential
80116,2008,New Britain,453 SLATER RD,104790,121900,0.859639048,Single Family
120143,2012,Southington,264 HIGH TOWER RD,216320,300000,0.721066667,Single Family
190434,2019,Greenwich,67 PROSPECT ST,653590,1250000,0.5229,Single Family
13117,2013,Monroe,22 SPINNING WHEEL RD,305690,462500,0.660951351,Single Family
60121,2006,Cheshire,131 MERWIN CIR,186080,357000,0.521232493,Single Family
60022,2006,New London,184 PEQUOT AVE 104,112980,269900,0.418599481,Condo
100015,2010,Easton,10 APRIL DRIVE,607700,575000,1.056869565,Single Family
180819,2018,Greenwich,47 LONG MEADOW ROAD,558320,164000,3.4043,Single Family
130027,2013,Danbury,15 BEAVER BROOK RD,107400,115000,0.933913043,Single Family
80365,2008,Greenwich,"92 ROCKWOOD LANE, GREENWICH,CT",2091180,3430200,0.609637922,Single Family
190968,2019,Norwalk,130 WEST NORWALK RD,445990,670000,0.6657,Single Family
150838,2015,Madison,120 DUCK HOLE ROAD,159100,175000,0.909142857,Single Family
140022,2014,Hampton,118 DRAIN ST,100750,143000,0.704545455,Single Family
160070,2016,Sherman,22 WANZER HILL RD,207800,286000,0.726573427,Single Family
80015,2008,Colchester,22 DIANE LN,200500,290000,0.69137931,Single Family
150226,2015,Stratford,98 WOODCREST AVE,144830,195000,0.742717949,Single Family
14019,2014,Colebrook,378 SANDY BROOK RD.,257800,280000,0.920714286,Single Family
100111,2010,New Fairfield,27 MACBEAN DRIVE,237900,445000,0.534606742,Single Family
61134,2006,Norwalk,81 WOLFPIT AVE #B1,212590,407500,0.521693252,Condo
13243,2013,Wilton,27 OLD FARM RD,874160,1560000,0.560358974,Single Family
70172,2007,Westport,2 VIKING GREEN,1495500,1911000,0.782574568,Single Family
70560,2007,Norwalk,87 STRATHMORE LN,190750,407500,0.46809816,Condo
190150,2019,Greenwich,45 HIGHVIEW AVE,1750070,2700000,0.6482,Single Family
170237,2017,Vernon,85-60 OLD TOWN RD,31920,19000,1.68,Condo
16026,2016,Franklin,34 POND RD,104120,175000,0.594971429,Single Family
200765,2020,Norwalk,31 & 33 FRANCE ST,366700,460000,0.797173913,Residential
90184,2009,East Lyme,40 CENTER STREET,160230,30000,5.341,Single Family
61068,2006,Waterbury,353 GRANDVIEW AVE,60970,122375,0.498222676,Single Family
180211,2018,Waterford,25 TIFFANY AVE,138630,260000,0.5331,Single Family
160005,2016,Scotland,23 DEVOTION RD,118700,221021,0.53705304,Single Family
210258,2021,Coventry,1386 CEDAR SWAMP RD,166500,329000,0.506,Residential
150081,2015,Canton,37 BUNKER HILL ROAD,193830,270000,0.717888889,Single Family
180002,2018,Danbury,32 IRVING PL,291900,398000,0.7334,Three Family
210092,2021,Wallingford,4 WHITE TAIL LN,107200,225000,0.4764,Residential
140461,2014,Waterbury,115 STEPHANA LANE,77390,120000,0.644916667,Single Family
210512,2021,New Haven,215 BARNES AVE #3,41090,80000,0.5136,Residential
160735,2016,New Britain,47 ONEIDA ST,114590,155000,0.739290323,Single Family
20200127,2020,Stratford,40 BUTTERNUT LANE,299600,475000,0.6307,Residential
900019,2009,Enfield,31 OLD KING ST,142170,90000,1.579666667,Single Family
190293,2019,Milford,52 ATWATER ST,180200,170000,1.06,Single Family
60097,2006,Glastonbury,53 CHATHAM HL,505100,1075000,0.469860465,Single Family
140001,2014,New Canaan,HERITAGE HILL GARAGE 77,13650,21000,0.65,Condo
110052,2011,Norwalk,4 BIRCHSIDE DR,375130,512500,0.731960976,Single Family
70019,2007,East Granby,21 SANFORD RIDGE,177200,362915,0.488268603,Condo
17550,2017,East Hartford,35-37 COMSTOCK PL,83980,169900,0.494290759,Two Family
200621,2020,Enfield,GEORGETOWN DR BFU08,48100,56000,0.8589,Residential
60031,2006,Washington,50 PAINTER RDG RD,556340,1240000,0.44866129,Single Family
173049,2017,Shelton,15 HURD RD,224910,290000,0.7755,Single Family
110591,2011,Bridgeport,45 STEVENS ST 1-D,53930,74854,0.72046918,Condo
150036,2015,South Windsor,20 WENTWORTH DR,155600,120000,1.296666667,Single Family
130076,2013,Columbia,238 RT 66 SOUTH,127400,215000,0.59255814,Single Family
140140,2014,Simsbury,430 FIRETOWN ROAD,199360,296640,0.67206041,Single Family
160814,2016,Killingly,471 BAILEY HILL RD,158620,255000,0.622039216,Single Family
150029,2015,Southbury,121 B HERITAGE VILLAGE,47640,37500,1.2704,Condo
120204,2012,New Fairfield,5 ROSE LANE,132700,100000,1.327,Single Family
110025,2011,Old Lyme,62-8 BRIGHTON RD,255500,390000,0.655128205,Single Family
210189,2021,Southington,93 BERLIN ST,108030,240000,0.4501,Residential
150546,2015,Glastonbury,480 NEIPSIC RD,166400,294000,0.565986395,Single Family
20610,2020,Ridgefield,20 CROSBY COURT,674800,1175000,0.5742,Residential
160366,2016,West Haven,82 HAROLD ST,106540,101100,1.053808111,Single Family
130566,2013,Greenwich,159 PARK AVENUE,1922900,3050000,0.630459016,Single Family
150109,2015,Wallingford,14 DOCKER DR,188400,296400,0.63562753,Single Family
60210,2006,New London,169 CRYSTAL AVE,107730,295000,0.365186441,Two Family
70034,2007,Avon,38 RIVER VIEW,120050,254500,0.471709234,Condo
181430,2018,Milford,557 SWANSON CRES,96860,159000,0.6091,Condo
100025,2010,Berlin,272 ALLING ST,133100,145000,0.917931034,Single Family
160345,2016,Stonington,17 DEVON DR,126400,215000,0.587906977,Single Family
90136,2009,Trumbull,19 ARROWHEAD RD,315100,400000,0.78775,Single Family
90677,2009,Danbury,45 FAIRVIEW DR UNIT 3,87700,51750,1.69468599,Condo
13251,2013,Bloomfield,10 BRIGHTON PARK WAY,94080,219900,0.427830832,Single Family
20639,2020,New Britain,1363 CORBIN AVE,114730,287000,0.3997,Residential
160185,2016,Norwalk,9 HILLS LN,218370,270000,0.808777778,Condo
170369,2017,West Hartford,11 FERNBEL LANE,217980,335000,0.6506,Single Family
69577,2006,West Haven,420 FRONT AVE,149520,2500,59.808,Three Family
18401,2018,East Hartford,94 WOOD DR,102930,156200,0.6589,Single Family
140156,2014,Plymouth,714 PINE HILL BLVD,96840,155000,0.624774194,Condo
70639,2007,Manchester,4 HOFFMAN RD,145900,210000,0.694761905,Single Family
150485,2015,Stratford,1826 NORTH AVE,151200,175300,0.862521392,Single Family
60108,2006,Naugatuck,153 KRODEL RD,121500,249900,0.486194478,Single Family
181625,2018,Waterbury,101 MELBOURNE TERR,69930,72000,0.97125,Single Family
90348,2009,Southbury,776 A HERITAGE VLG,74470,75000,0.992933333,Condo
150641,2015,Waterbury,200 FABER AVE,77750,128800,0.603649068,Single Family
190041,2019,Plymouth,44 PROSPECT ST,132360,160000,0.8273,Single Family
61942,2006,Bridgeport,200 WOODMONT AVE UT 97,65580,146000,0.449178082,Condo
180094,2018,Somers,9 POMEROY LANE,211500,290000,0.7293,Single Family
18000194,2018,Brookfield,12 HIDDEN BROOK RD,607900,710000,0.856197183,Single Family
210863,2021,Norwalk,580 BELDEN HILL RD,503910,810000,0.6221,Residential
120150,2012,New Milford,4 HAYFIELD RD,256620,362500,0.707917241,Single Family
80361,2008,Wallingford,124-4 CONSTITUTION ST,127260,276400,0.460419682,Condo
80043,2008,Hebron,11 WOOD POND RD,339780,400000,0.84945,Single Family
160066,2016,Sharon,21 S ELLSWORTH RD,503200,590000,0.852881356,Single Family
171121,2017,Killingly,76 GLORIA AVE,79870,145000,0.5508,Single Family
190392,2019,West Hartford,168 FOUR MILE ROAD,328580,490000,0.6706,Single Family
70261,2007,Brookfield,20A OLD MIDDLE RD,281420,278000,1.012302158,Single Family
190119,2019,Killingworth,52 TOWER HILL ROAD,436470,783000,0.5574,Single Family
90156,2009,Darien,36 SHIELDS ROAD,1617980,2100000,0.770466667,Single Family
200463,2020,Killingly,30 UPPER DOWNS DR,237790,500000,0.4755,Residential
120127,2012,Wallingford,4 BLOSSOM LN,269700,400000,0.67425,Single Family
150693,2015,Manchester,195 OAKLAND STREET UNIT G,81800,105000,0.779047619,Condo
70157,2007,New Canaan,70 WELLES LN,1026400,3210000,0.319750779,Single Family
140054,2014,Windham,96 PEMBERTON RD,86070,113000,0.761681416,Single Family
160290,2016,Ansonia,34 ROCKWOOD AVE,97100,82500,1.176969697,Two Family
70477,2007,Norwalk,7 KELLEE CT,216580,432600,0.500647249,Single Family
200041,2020,Cromwell,16 DIANE DR,167650,326000,0.5142,Residential
130301,2013,Hamden,19 MANILLA AVE,116130,91000,1.276153846,Single Family
140615,2014,Shelton,117 COUNTRY PLACE,132720,220000,0.603272727,Condo
130237,2013,Plainville,13 ROSEMONT DR,78610,135000,0.582296296,Single Family
70335,2007,Wethersfield,48 STILLMAN RD,125700,204000,0.616176471,Single Family
160112,2016,Branford,15 HALLS POINT RD,378000,172500,2.191304348,Single Family
90672,2009,Norwalk,71 AIKEN ST E/1,259630,308500,0.841588331,Condo
190096,2019,Bethel,32 QUAKER RIDGE ROAD,187250,255000,0.7343,Single Family
70055,2007,Woodbury,22 FAIR GROUNDS RD,287230,482000,0.595912863,Single Family
20042,2020,Darien,2 SETTLERS TRAIL UNIT 3,1261470,1900000,0.6639,Residential
2000400,2020,Naugatuck,1 NINA DR,37110,265000,0.14,Residential
70153,2007,Ellington,63 CRANE RD,248320,375000,0.662186667,Single Family
80200,2008,Waterbury,98 WOODLAWN TERR,343880,415000,0.828626506,Single Family
15049,2015,Ansonia,29 HOLBROOK STREET,82000,62000,1.322580645,Two Family
110704,2011,Greenwich,"19 HERONVUE ROAD, GRW,CT06830",917630,900000,1.019588889,Single Family
170376,2017,Windsor,120 WINDBROOK DR,129850,100000,1.2985,Single Family
190407,2019,Windsor,2 NILES RD,181790,270000,0.6733,Two Family
110100,2011,Naugatuck,124 MELBOURNE CT,212860,172510,1.233899484,Single Family
8109,2008,Meriden,13 COLONIES,84730,110000,0.770272727,Condo
130130,2013,Somers,168 WATCHAUG ROAD,109800,165000,0.665454545,Single Family
124786,2012,Manchester,149 CAMPFIELD ROAD,104100,140000,0.743571429,Single Family
100014,2010,Wolcott,71 WILSON RD,130750,169900,0.769570335,Single Family
200157,2020,Greenwich,54 ROUND HILL ROAD,1727810,1700000,1.016358824,Residential
90475,2009,Shelton,327 SHELTON AVE,235200,315000,0.746666667,Single Family
130093,2013,Ledyard,4 STONYBROOK RD,134890,206000,0.654805825,Single Family
70003,2007,Avon,39 GATEWOOD,342440,600000,0.570733333,Condo
71573,2007,Bridgeport,66 EAST AVENUE,84780,129500,0.654671815,Single Family
101243,2010,Bridgeport,216 SHELTON STREET,160300,55200,2.903985507,Two Family
60188,2006,Clinton,66 FOUNDERS RD,95600,135000,0.708148148,Condo
200239,2020,Trumbull,11 EDDIE RD,179760,362000,0.4965,Residential
70215,2007,East Hampton,111 ABBEY RD,208590,324000,0.643796296,Single Family
150463,2015,South Windsor,146 PEPIN PLACE,0,278070,0,Single Family
91403,2009,Stamford,91 STRAWBERRY HILL AVE #840,149680,167500,0.89361194,Condo
170091,2017,Enfield,16 SOUTH ST,119560,90000,1.328444444,Two Family
130569,2013,Fairfield,165 BUTTERNUT LANE,761040,825000,0.922472727,Single Family
15268,2015,Wilton,7 SKUNK LA,907970,870000,1.043643678,Single Family
130076,2013,Brookfield,19 ESSEX CT,84160,124000,0.678709677,Condo
90201,2009,Ridgefield,5 GINO'S WAY,133210,1195000,0.111472803,Single Family
20515,2020,New Britain,38 QUEEN ST,106120,220000,0.4823,Residential
14450,2014,Glastonbury,195 TALL TIMBERS RD,223500,382500,0.584313725,Single Family
60118,2006,Berlin,321 WORTHINGTON RDG,203100,385000,0.527532468,Single Family
2020065,2020,Wilton,17 COLEY RD,364620,450000,0.8102,Residential
140016,2014,Danbury,90 HOSPITAL AVE #1,79300,100000,0.793,Condo
120377,2012,Norwich,586 WEST THAMES ST UNIT 202 +,159400,162000,0.983950617,Condo
60159,2006,Darien,15 PASTURE LN,1298920,60000,21.64866667,Single Family
60429,2006,Windsor,3 JAY CIR,133140,310000,0.429483871,Single Family
100090,2010,Portland,3 ROGERS RD,138810,238500,0.582012579,Single Family
160310,2016,South Windsor,496 QUARRY BROOK DR,263600,451000,0.584478936,Single Family
180036,2018,Thompson,185 FABYAN RD,133100,225000,0.5915,Single Family
10013,2010,Burlington,5 RABBIT TRAIL,225610,322500,0.699565891,Single Family
20377,2020,Darien,11 SILVER LAKES DRIVE,560280,955000,0.5866,Residential
170117,2017,Windham,23 QUARRY ST,70920,51800,1.3691,Single Family
190088,2019,Beacon Falls,2 NEW STREET,15400,28500,0.5404,Single Family
60626,2006,Wallingford,12 MALCHIODI DR,295820,7500,39.44266667,Single Family
180173,2018,Coventry,566 STONEHOUSE RD,92000,92500,0.9945,Single Family
18032,2018,New Hartford,179 COTTON HILL ROAD,235900,280000,0.8425,Single Family
167584,2016,Bridgeport,205 QUEEN ST,103580,189900,0.545444971,Single Family
12414,2012,Milford,73 KOHARY DRIVE,174010,248500,0.700241449,Single Family
150193,2015,Avon,69 NORTHINGTON DRIVE,583240,747000,0.780776439,Single Family
140247,2014,West Haven,71 WENHAM ST,110250,185000,0.595945946,Single Family
133839,2013,West Hartford,26 MOHEGAN DRIVE,164850,321000,0.513551402,Single Family
12045,2012,Newington,12 OLD MUSKET DRIVE,138940,156500,0.887795527,Single Family
14210,2014,Newtown,6 TAMARACK ROAD,302820,370000,0.818432432,Single Family
200487,2020,East Lyme,21 SAPIA DR,196070,410000,0.4782,Residential
140080,2014,Westbrook,951 OLD CLINTON RD #20,212150,276300,0.767824828,Condo
60086,2006,Monroe,663 MONROE TPKE,143990,257500,0.559184466,Single Family
61987,2006,Waterbury,96 SANTA MARIA DR,69160,171000,0.404444444,Single Family
200978,2020,West Hartford,869 FARMINGTON AVENUE #A108,133490,200000,0.6674,Residential
216650,2021,Southbury,255 PERKINS RD,229050,475000,0.4822,Residential
210440,2021,Torrington,20 BIRD ST,83750,191500,0.4373,Residential
90035,2009,Ledyard,17 CHAPMAN LN,249410,275000,0.906945455,Single Family
80616,2008,West Hartford,33 OLD MEADOW RD,189400,258000,0.734108527,Single Family
160064,2016,Madison,37 NURSERY LANE,378600,500000,0.7572,Single Family
90757,2009,Milford,79 HAWLEY AVENUE,413470,367000,1.126621253,Single Family
60757,2006,Southington,10R & 12P DARLING STREET,0,19458,0,Condo
100384,2010,Norwalk,4 POGANY ST A,239540,279700,0.85641759,Condo
201420,2020,Milford,0 HACKETT AVE,267260,450000,0.5939,Residential
190797,2019,Milford,119 CRABTREE LN,278560,435000,0.6404,Single Family
130446,2013,Danbury,12-16 SCUPPO RD #H-45,72200,63200,1.142405063,Condo
180104,2018,New Haven,224 LLOYD ST,69860,97000,0.7202,Single Family
60667,2006,Waterbury,139 MACAULEY AVE,67340,20000,3.367,Two Family
14000142,2014,Granby,37 WELLS RD,207830,5000,41.566,Single Family
2101624,2021,Stamford,12 NURNEY STREET,265070,117500,2.2559,Residential
140117,2014,Berlin,31 BEECHWOOD LANE,149700,170000,0.880588235,Single Family
1500866,2015,Stamford,50 GLENBROOK ROAD # 8E,125450,112500,1.115111111,Condo
160246,2016,Ansonia,74 BENZ STREET,120300,240000,0.50125,Single Family
20000282,2020,Weston,33 RIVERFIELD ROAD,543020,1260000,0.4309,Residential
800036,2008,Somers,43 MAPLE RIDGE DRIVE,101260,228000,0.444122807,Single Family
190118,2019,Bristol,108 PUTNAM ST,110790,267000,0.4149,Three Family
190411,2019,Southbury,50 RIVER TRAIL,117130,175000,0.6693,Single Family
16231,2016,North Haven,6 BELVEDERE RD,146090,250000,0.58436,Single Family
100190,2010,Shelton,2C SHELTON VICTORIAN,87500,57500,1.52173913,Condo
20393,2020,Ridgefield,36 RAMAPOO ROAD,742570,1160301,0.6399,Residential
150105,2015,New Fairfield,21 EASTVIEW DR,197900,295000,0.670847458,Single Family
141696,2014,Bridgeport,3270 NORTH AVENUE #2G,56790,32000,1.7746875,Condo
110245,2011,Naugatuck,117 CURTISS ST,118280,31000,3.815483871,Two Family
70744,2007,Fairfield,81 LINLEY DR,374290,360000,1.039694444,Single Family
70060,2007,Haddam,122 THAYER RD,177550,192000,0.924739583,Single Family
90418,2009,Glastonbury,1110 MOTT HILL RD & W/5AA,273600,386900,0.707159473,Single Family
150283,2015,Manchester,181 LUDLOW ROAD,167700,285000,0.588421053,Single Family
15306,2015,Watertown,241 CHERRY AVE,180200,278000,0.648201439,Single Family
141683,2014,Bridgeport,323-325 PEARL HARBOR STREET,113800,109000,1.044036697,Single Family
100239,2010,Newtown,106 BOGGS HILL ROAD,579550,692000,0.8375,Single Family
190046,2019,Bolton,2 BIRCH MOUNTAIN RD EXT,117900,195000,0.6046,Single Family
200012,2020,Simsbury,6 EDGEWOOD COURT,210740,328000,0.6425,Residential
170009,2017,Kent,80 NORTH MAIN ST B4B3,103100,150000,0.687333333,Condo
60296,2006,Rocky Hill,9 DEER PATH LT 111,84390,326400,0.258547794,Condo
170282,2017,Groton,95 JOE AVE,91490,60426,1.514083342,Single Family
150247,2015,Glastonbury,100 ADDISON RD,287600,445000,0.646292135,Single Family
13144,2013,Orange,620 S GREENBRIER DR,260600,425000,0.613176471,Single Family
191066,2019,Greenwich,31 CROWN LANE,1074290,1700000,0.6319,Single Family
211985,2021,Waterbury,20 GATES AVE,49240,135000,0.3647,Residential
180003,2018,Glastonbury,8 HUBBARD RUN DR,113900,165000,0.6903,Condo
130037,2013,Vernon,60-80 OLD TOWN RD,84770,80000,1.059625,Condo
130562,2013,Fairfield,92 HORNBEAM ROAD,840070,1515000,0.55450165,Single Family
210233,2021,New London,117 NORWOOD AVE,88760,200000,0.4438,Residential
16309,2016,Farmington,14 BITTERSWEET LA,174170,300000,0.580566667,Condo
60337,2006,Trumbull,20 THORBURN AVE,236800,345000,0.686376812,Single Family
60100,2006,Newtown,18 PARMALEE HL RD,243820,450000,0.541822222,Single Family
70020,2007,Avon,27 BERKSHIRE CROSSING,466650,860160,0.542515346,Single Family
900070,2009,Enfield,20 STANLEY DR,122500,170000,0.720588235,Single Family
210920,2021,Bristol,40 WEIGERT WAY,49400,409900,0.120517199,Residential
70036,2007,Andover,321 LAKE RD,118600,180000,0.658888889,Single Family
20034,2020,New Britain,402 ALLEN ST,119980,247000,0.4857,Residential
160903,2016,Hamden,74 HELOISE ST,115920,257000,0.451050584,Single Family
70033,2007,Columbia,1 SZEGDA RD.,136800,97500,1.403076923,Single Family
180159,2018,Bristol,114 CRONIN ST,188860,266599,0.7084,Single Family
60337,2006,Stonington,22 MARJORIE ST,114500,265000,0.432075472,Single Family
14032,2014,Hartford,27-29 VINELAND TER,40375,37500,1.076666667,Three Family
140126,2014,Somers,50 SPRINGFIELD RD,242500,560459,0.43268107,Single Family
70197,2007,Stratford,523 BARNUM TERR EXT,134260,56000,2.3975,Single Family
900323,2009,Farmington,9 COBBLE COURT,302990,415950,0.728428898,Single Family
211335,2021,Norwalk,10 ANN ST UNIT 301,183520,341000,0.5381,Residential
173149,2017,Shelton,83 BEACON HILL TERRACE,465300,550000,0.846,Single Family
60543,2006,Bridgeport,259A LOUISIANA AVE,33205,90000,0.368944444,Single Family
200258,2020,Shelton,25 BUDDINGTON PARK #12,289170,450000,0.6426,Residential
120095,2012,Enfield,28 ST JAMES AVE,131690,205000,0.642390244,Single Family
120301,2012,East Lyme,38 HOPE ST #125,8540,330000,0.025878788,Condo
